"crit","zip"
"9002413","03751"
"9002414","03752"
"9002415","03753"
"9002416","03755"
"9002418","03765"
"9002419","03766"
"9002420","03768"
"9002421","03770"
"9002422","03771"
"9002423","03773"
"9002424","03774"
"9002425","03777"
"9002426","03779"
"9002427","03780"
"9002428","03781"
"9002429","03782"
"9002430","03784"
"9002431","03785"
"9002432","03801"
"9002433","03809"
"9002434","03810"
"9002435","03811"
"9002436","03812"
"9002437","03813"
"9002438","03814"
"9002439","03816"
"9002440","03817"
"9002441","03818"
"9002442","03819"
"9002443","03820"
"9002445","03823"
"9002446","03824"
"9002447","03825"
"9002448","03826"
"9002449","03827"
"9002450","03830"
"9002451","03833"
"9002452","03835"
"9002453","03836"
"9002454","03837"
"9002455","03838"
"9002456","03839"
"9002457","03840"
"9002458","03841"
"9002459","03842"
"9002460","03844"
"9002461","03845"
"9002462","03846"
"9002463","03847"
"9002464","03848"
"9002465","03849"
"9002466","03851"
"9002467","03852"
"9002468","03853"
"9002469","03854"
"9002470","03855"
"9002471","03856"
"9002472","03857"
"9002473","03858"
"9002474","03860"
"9002475","03861"
"9002476","03862"
"9002477","03864"
"9002478","03865"
"9002479","03867"
"9002480","03868"
"9002481","03869"
"9002482","03870"
"9002483","03871"
"9002484","03872"
"9002485","03873"
"9002486","03874"
"9002487","03875"
"9002488","03878"
"9002489","03882"
"9002490","03883"
"9002491","03884"
"9002492","03885"
"9002493","03886"
"9002494","03887"
"9002495","03890"
"9002496","03894"
"9002497","03896"
"9002498","03897"
"9002499","03901"
"9002500","03902"
"9002501","03903"
"9002502","03904"
"9002503","03905"
"9002504","03906"
"9002505","03907"
"9002506","03908"
"9002507","03909"
"9002509","03911"
"9002510","04001"
"9002511","04002"
"9002512","04003"
"9002513","04005"
"9002514","04008"
"9002515","04009"
"9002516","04010"
"9002517","04011"
"9002518","04015"
"9002519","04017"
"9002520","04019"
"9002521","04020"
"9002522","04021"
"9002523","04022"
"9002524","04024"
"9002525","04027"
"9002526","04029"
"9002527","04030"
"9002528","04032"
"9002530","04037"
"9002531","04038"
"9002532","04039"
"9002533","04040"
"9002534","04041"
"9002535","04042"
"9002536","04043"
"9002537","04046"
"9002538","04047"
"9002539","04048"
"9002540","04049"
"9002541","04050"
"9002542","04051"
"9002544","04055"
"9002545","04056"
"9002546","04061"
"9002547","04062"
"9002548","04063"
"9002549","04064"
"9002550","04066"
"9002551","04068"
"9002552","04069"
"9002554","04071"
"9002555","04072"
"9002556","04073"
"9002557","04074"
"9002558","04076"
"9002560","04079"
"9002561","04083"
"9002562","04084"
"9002563","04085"
"9002564","04086"
"9002565","04087"
"9002566","04088"
"9002567","04090"
"9002568","04091"
"9002569","04092"
"9002570","04093"
"9002571","04095"
"9002572","04096"
"9002573","04097"
"9002574","04101"
"9002575","04102"
"9002576","04103"
"9002577","04105"
"9002578","04106"
"9002579","04107"
"9002580","04108"
"9002581","04110"
"9002583","04210"
"9002584","04216"
"9002585","04217"
"9002586","04219"
"9002587","04220"
"9002588","04221"
"9002589","04222"
"9002590","04224"
"9002591","04226"
"9002592","04231"
"9002593","04236"
"9002594","04237"
"9002595","04238"
"9002596","04239"
"9002597","04240"
"9002598","04250"
"9002599","04252"
"9002600","04253"
"9002601","04254"
"9002602","04255"
"9002603","04256"
"9002604","04257"
"9002605","04258"
"9002606","04259"
"9002607","04260"
"9002608","04261"
"9002609","04263"
"9002610","04265"
"9002611","04268"
"9002612","04270"
"9002613","04271"
"9002614","04274"
"9002615","04275"
"9002616","04276"
"9002617","04280"
"9002618","04281"
"9002619","04282"
"9002620","04284"
"9002621","04285"
"9002622","04286"
"9002623","04287"
"9002624","04289"
"9002625","04290"
"9002626","04292"
"9002627","04294"
"9002628","04330"
"9002629","04341"
"9002630","04342"
"9002631","04344"
"9002632","04345"
"9002633","04346"
"9002634","04347"
"9002635","04348"
"9002636","04349"
"9002637","04350"
"9002638","04351"
"9002639","04352"
"9002640","04353"
"9002641","04354"
