URL,Last crawled
https://www.pdx.edu/geography/sites/geography.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3iwmr,2023-12-12
https://www.pdx.edu/early-childhood-hub/arts/events/justin-boening-devon-walker-figueroa-and-leni-zumas-joint-pccpsu-reading,2023-12-12
https://www.pdx.edu/technology/sites/informationtechnology.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3iwli,2023-12-12
https://www.pdx.edu/psychology/sites/psychology.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ixgi,2023-12-12
"https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/liberal-arts-sciences/student-life/calendar/month?tid=music 
%2B theater",2023-12-12
https://www.pdx.edu/economics/sites/economics.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ixot,2023-12-12
https://www.pdx.edu/physics/sites/physics.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ix80,2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/calendar/week?tid=academic 
support",2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/liberal-arts-sciences/events/ceti-video-mixer-0,2023-12-12
https://www.pdx.edu/accelerator/sites/accelerator.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ixn7,2023-12-12
https://www.pdx.edu/board/sites/board.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3iwns,2023-12-12
https://www.pdx.edu/business/sites/business.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3qx5d,2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/writing-center/events/beginner-vinyasa-yoga-person,2023-12-12
https://www.pdx.edu/early-childhood-hub/transfer-center/news/utilizing-ultrasound-map-and-sustain-existing-structures-thomas-schumacher,2023-12-12
https://www.pdx.edu/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3rje7,2023-12-12
https://www.pdx.edu/heroines/sites/heroines.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3j2r7,2023-12-12
https://www.pdx.edu/sociology/sites/sociology.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3izuf,2023-12-12
https://www.pdx.edu/budget/sites/budget.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s3ixo8,2023-12-12
