Criteria ID,Name ,CName,Parent ID,Country Code,Target Type ,Status,Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
(not set),(not set),(not set),(not set),(not set),(not set),(not set),501,57,New York City Pest,1,Ehrlich,iRIS,Holtsville,NY,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),544,57,New York City Pest,1,Ehrlich,iRIS,Holtsville,NY,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1014,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1021,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1041,56,Albany Pest,7,Ehrlich,iRIS,Holyoke,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1061,56,Albany Pest,7,Ehrlich,iRIS,Northampton,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1086,56,Albany Pest,7,Ehrlich,iRIS,Westfield,MA,690,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1090,56,Albany Pest,7,Ehrlich,iRIS,West Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1097,56,Albany Pest,7,Ehrlich,iRIS,Woronoco,MA,78,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1102,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1115,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1116,68,North Boston Pest,3,Ehrlich,iRIS,Longmeadow,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1133,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1138,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1139,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1195,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1202,56,Albany Pest,7,Ehrlich,iRIS,Pittsfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1203,56,Albany Pest,7,Ehrlich,iRIS,Pittsfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1227,56,Albany Pest,7,Ehrlich,iRIS,Dalton,MA,0,yes
